Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",45.352555,22.733000,-45.000000,bottom
"C2","22pF","C_0805_2012Metric",-267.462000,-17.907000,-90.000000,bottom
"C3","22pF","C_0805_2012Metric",50.940555,17.145000,135.000000,bottom
"C4","22pF","C_0805_2012Metric",-259.588000,-18.034000,90.000000,bottom
"C5","1uF","C_0805_2012Metric",48.260000,37.465000,-45.000000,bottom
"C6","1uF","C_0805_2012Metric",-273.304000,-6.096000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",56.642000,17.653000,0.000000,bottom
"C8",".1uF","C_0805_2012Metric",56.642000,38.735000,180.000000,bottom
"C9",".1uF","C_0805_2012Metric",67.183000,28.194000,90.000000,bottom
"C10",".1uF","C_0805_2012Metric",46.228000,28.194000,-90.000000,bottom
"C11",".1uF","C_0805_2012Metric",53.086000,38.100000,0.000000,bottom
"C12","10uF","C_0805_2012Metric",-266.065000,3.429000,180.000000,bottom
"C13",".1uF","C_0805_2012Metric",-258.826000,2.794000,0.000000,bottom
"C14",".1uF","C_0805_2012Metric",-253.111000,-12.700000,-90.000000,bottom
"C15",".1uF","C_0805_2012Metric",-273.304000,-8.128000,0.000000,bottom
"C16",".1uF","C_0805_2012Metric",-265.303000,-14.478000,180.000000,bottom
"D1","D_Small","D_SOD-123-Pretty",24.086800,42.999900,90.000000,bottom
"D2","D_Small","D_SOD-123-Pretty",0.274300,42.999900,90.000000,bottom
"D3","D_Small","D_SOD-123-Pretty",-18.775700,42.999900,90.000000,bottom
"D4","D_Small","D_SOD-123-Pretty",-37.825700,42.999900,90.000000,bottom
"D5","D_Small","D_SOD-123-Pretty",-56.875700,42.999900,90.000000,bottom
"D6","D_Small","D_SOD-123-Pretty",-80.688200,42.999900,90.000000,bottom
"D7","D_Small","D_SOD-123-Pretty",-97.738200,42.999900,90.000000,bottom
"D8","D_Small","D_SOD-123-Pretty",-137.889000,43.038000,90.000000,bottom
"D9","D_Small","D_SOD-123-Pretty",-156.939000,43.038000,90.000000,bottom
"D10","D_Small","D_SOD-123-Pretty",-180.751500,43.038000,90.000000,bottom
"D11","D_Small","D_SOD-123-Pretty",-199.801500,43.038000,90.000000,bottom
"D12","D_Small","D_SOD-123-Pretty",-218.851500,43.038000,90.000000,bottom
"D13","D_Small","D_SOD-123-Pretty",-237.901500,43.038000,90.000000,bottom
"D14","D_Small","D_SOD-123-Pretty",-261.714000,43.038000,90.000000,bottom
"D15","D_Small","D_SOD-123-Pretty",-287.289000,43.038000,90.000000,bottom
"D16","D_Small","D_SOD-123-Pretty",60.960000,44.196000,90.000000,bottom
"D17","PRTR5V0U2X","SOT-143",21.209000,60.452000,0.000000,bottom
"D18","D_Small","D_SOD-123-Pretty",24.086800,19.187400,90.000000,bottom
"D19","D_Small","D_SOD-123-Pretty",5.036800,19.187400,90.000000,bottom
"D20","D_Small","D_SOD-123-Pretty",-14.013200,19.187400,90.000000,bottom
"D21","D_Small","D_SOD-123-Pretty",-33.063200,19.187400,90.000000,bottom
"D22","D_Small","D_SOD-123-Pretty",-52.113200,19.187400,90.000000,bottom
"D23","D_Small","D_SOD-123-Pretty",-71.163200,19.187400,90.000000,bottom
"D24","D_Small","D_SOD-123-Pretty",-88.213200,19.187400,90.000000,bottom
"D25","D_Small","D_SOD-123-Pretty",-128.364000,19.162000,90.000000,bottom
"D26","D_Small","D_SOD-123-Pretty",-147.414000,19.162000,90.000000,bottom
"D27","D_Small","D_SOD-123-Pretty",-166.464000,19.162000,90.000000,bottom
"D28","D_Small","D_SOD-123-Pretty",-185.514000,19.162000,90.000000,bottom
"D29","D_Small","D_SOD-123-Pretty",-204.564000,19.162000,90.000000,bottom
"D30","D_Small","D_SOD-123-Pretty",-223.614000,19.162000,90.000000,bottom
"D31","D_Small","D_SOD-123-Pretty",-233.664000,19.162000,90.000000,bottom
"D32","D_Small","D_SOD-123-Pretty",-249.189000,19.162000,90.000000,bottom
"D33","D_Small","D_SOD-123-Pretty",-287.289000,19.162000,90.000000,bottom
"D34","D_Small","D_SOD-123-Pretty",-118.839000,0.112000,90.000000,bottom
"D35","D_Small","D_SOD-123-Pretty",-137.889000,0.112000,90.000000,bottom
"D36","D_Small","D_SOD-123-Pretty",-156.939000,0.112000,90.000000,bottom
"D37","D_Small","D_SOD-123-Pretty",-175.989000,0.112000,90.000000,bottom
"D38","D_Small","D_SOD-123-Pretty",-195.039000,0.112000,90.000000,bottom
"D39","D_Small","D_SOD-123-Pretty",-214.089000,0.112000,90.000000,bottom
"D40","D_Small","D_SOD-123-Pretty",-233.139000,0.112000,90.000000,bottom
"D41","D_Small","D_SOD-123-Pretty",-256.951500,7.112000,90.000000,bottom
"D42","D_Small","D_SOD-123-Pretty",-287.289000,0.112000,90.000000,bottom
"D43","D_Small","D_SOD-123-Pretty",71.711800,0.137400,90.000000,bottom
"D44","D_Small","D_SOD-123-Pretty",52.661800,0.137400,90.000000,bottom
"D45","D_Small","D_SOD-123-Pretty",19.324300,0.137400,90.000000,bottom
"D46","D_Small","D_SOD-123-Pretty",-4.488200,0.137400,90.000000,bottom
"D47","D_Small","D_SOD-123-Pretty",-23.538200,0.137400,90.000000,bottom
"D48","D_Small","D_SOD-123-Pretty",-42.588200,0.137400,90.000000,bottom
"D49","D_Small","D_SOD-123-Pretty",-61.638200,0.137400,90.000000,bottom
"D50","D_Small","D_SOD-123-Pretty",-78.688200,0.137400,90.000000,bottom
"D51","D_Small","D_SOD-123-Pretty",-123.601500,-18.938000,90.000000,bottom
"D52","D_Small","D_SOD-123-Pretty",-142.651500,-18.938000,90.000000,bottom
"D53","D_Small","D_SOD-123-Pretty",-161.701500,-18.938000,90.000000,bottom
"D54","D_Small","D_SOD-123-Pretty",-180.751500,-18.938000,90.000000,bottom
"D55","D_Small","D_SOD-123-Pretty",-199.801500,-18.938000,90.000000,bottom
"D56","D_Small","D_SOD-123-Pretty",-218.851500,-18.938000,90.000000,bottom
"D57","D_Small","D_SOD-123-Pretty",-246.807750,-18.938000,90.000000,bottom
"D58","D_Small","D_SOD-123-Pretty",-287.289000,-18.938000,90.000000,bottom
"D59","D_Small","D_SOD-123-Pretty",71.711800,-18.912600,90.000000,bottom
